Anna|Clayton|3399 North Road|Poughkeepsie|12601|anna@holograms.inc|passw0rd|Customer|NY|USA|FALSE
Mike|Cohoon|3399 North Road|Poughkeepsie|12601|mike@holograms.inc|passw0rd|Customer|NY|USA|FALSE
Patrick|Collins|3399 North Road|Poughkeepsie|12601|patrick@holograms.inc|passw0rd|Customer|NY|USA|FALSE
Ryan|Flaherty|3399 North Road|Poughkeepsie|12601|t3kk@holograms.inc|passw0rd|Customer|NY|USA|FALSE
Shane|Steinert|3399 North Road|Poughkeepsie|12601|shane@holograms.inc|passw0rd|Customer|NY|USA|FALSE
Ryan|Sullivan|3399 North Road|Poughkeepsie|12601|sully@holograms.inc|passw0rd|Customer|NY|USA|FALSE
Shipping|Manager|3399 North Road|Poughkeepsie|12601|shipping@holograms.inc|passw0rd|Shipping|NY|USA|FALSE
System|Admin|3399 North Road|Poughkeepsie|12601|admin@holograms.inc|passw0rd|Admin|NY|USA|FALSE
Warehouse|Manager|3399 North Road|Poughkeepsie|12601|warehouse@holograms.inc|passw0rd|Warehouse|NY|USA|FALSE
Sales|Manager|3399 North Road|Poughkeepsie|12601|sales@holograms.inc|passw0rd|Sales|NY|USA|FALSE
Marketing|Manager|3399 North Road|Poughkeepsie|12601|marketing@holograms.inc|passw0rd|Marketing|NY|USA|FALSE
Inventory|Manager|3399 North Road|Poughkeepsie|12601|inventory@holograms.inc|passw0rd|Inventory|NY|USA|FALSE
God|User|3399 North Road|Poughkeepsie|12601|god@holograms.inc|passw0rd|God|NY|USA|FALSE
Mike's|Testes|3399 North Road|Poughkeepsie|12601|test@test.com|testes|Customer|NY|USA|FALSE
